index,string,shingles
11,BbBBCccEEEggGGHHiIjJjjjlMoOPPqqQqrrSSSSSSssTVVwwwxZ,"bBBC,Jjjj,SSSs,EggG,qQqr,SSss,IjJj,jJjj,OPPq,SSSS,BbBB,jjjl,ssTV,ccEE,jjlM,rSSS,Vwww,GHHi,EEgg,HHiI,CccE,oOPP,jlMo,HiIj,qqQq,wwwx,BBCc,ggGG,TVVw,lMoO,MoOP,PPqq,Qqrr,sTVV,wwxZ,VVww,iIjJ,qrrS,EEEg,GGHH,PqqQ,rrSS,SssT,gGGH,BCcc,cEEE"
12,AabBbCDDeEeFgGggGHhiJjlLMnnPpPpqtTUVWwXXyZ,"FgGg,jlLM,EeFg,gGHh,iJjl,CDDe,hiJj,PpPp,LMnn,BbCD,TUVW,XXyZ,gGgg,AabB,nnPp,GHhi,MnnP,qtTU,nPpP,GggG,bCDD,JjlL,pPpq,DeEe,UVWw,eFgG,DDeE,HhiJ,abBb,Ppqt,lLMn,eEeF,WwXX,ggGH,wXXy,bBbC,tTUV,VWwX,pqtT"
13,ccFFghHHJlmnnNPqQRRSsTtTUuvxxXYYzz,"XYYz,HHJl,QRRS,nNPq,FFgh,HJlm,SsTt,PqQR,Jlmn,TtTU,ccFF,YYzz,qQRR,Uuvx,FghH,xxXY,hHHJ,ghHH,NPqQ,TUuv,sTtT,vxxX,tTUu,nnNP,RSsT,cFFg,uvxx,xXYY,lmnn,RRSs,mnnN"
14,EeGGHjlMnNNOpPqrsTtUVVXXxyzZzzzZ,"GGHj,rsTt,Xxyz,yzZz,jlMn,OpPq,UVVX,Zzzz,zZzz,lMnN,EeGG,zzzZ,qrsT,XXxy,xyzZ,MnNN,nNNO,HjlM,sTtU,tUVV,eGGH,NOpP,GHjl,NNOp,VVXX,pPqr,VXXx,TtUV,Pqrs"
15,aaaBcCcddEeEEFFfGGhiIjjkKkKlMMMopPQRRRStTtuuUvvVxxxyyzzz,"opPQ,aaaB,xxyy,yzzz,RStT,GGhi,FFfG,Ttuu,jjkK,UvvV,KlMM,yyzz,MMop,cddE,tuuU,pPQR,GhiI,aBcC,cCcd,vVxx,kKkK,uuUv,EEFF,vvVx,fGGh,dEeE,hiIj,xxxy,kKlM,MMMo,Ijjk,eEEF,lMMM,FfGG,KkKl,aaBc,PQRR,StTt,tTtu,xyyz,QRRR,Ccdd,MopP,EFFf,RRRS,EeEE,jkKk,uUvv,BcCc,Vxxx,RRSt,iIjj,ddEe"
16,abbBBCdeeggggGhIiJKKKLLNnooOpPqQRsTTUUUUVvvVvWwXXyyYyyZz,"LNno,bBBC,eegg,vVvW,abbB,XXyy,VvvV,OpPq,pPqQ,UUUV,iJKK,KLLN,BBCd,yyZz,oOpP,sTTU,nooO,XyyY,PqQR,Nnoo,Cdee,IiJK,yyYy,vvVv,gggg,hIiJ,JKKK,GhIi,deeg,YyyZ,UVvv,vWwX,KKLL,qQRs,UUVv,gggG,QRsT,TTUU,yYyy,RsTT,TUUU,WwXX,KKKL,VvWw,bbBB,gGhI,ooOp,eggg,LLNn,UUUU,wXXy,BCde,ggGh"
17,AaABDddGGHiiJlMMNNORSuuuvVVVvWxYZzZ,"uuvV,GGHi,RSuu,VVVv,iJlM,aABD,vVVV,BDdd,NORS,VvWx,DddG,HiiJ,iiJl,Suuu,AaAB,NNOR,ABDd,uvVV,vWxY,YZzZ,GHii,VVvW,ddGG,ORSu,JlMM,xYZz,dGGH,lMMN,uuuv,MMNN,WxYZ,MNNO"
18,aabCddehjjkKllnNNOOpPpqqqqrSUvVVVwWXxxXxyyz,"bCdd,hjjk,jkKl,ddeh,jjkK,vVVV,UvVV,wWXx,aabC,OpPp,qqrS,NOOp,qrSU,Xxyy,XxxX,Cdde,VwWX,kKll,nNNO,ehjj,pPpq,pqqq,WXxx,lnNN,Ppqq,dehj,VVVw,xyyz,SUvV,Klln,NNOO,OOpP,qqqq,xXxy,abCd,rSUv,xxXx,llnN,qqqr,VVwW"
19,aABccEfffFgghhHiIiiJKklLmnPQqrrRSVwxXYyY,"ffFg,fffF,KklL,gghh,RSVw,nPQq,rRSV,aABc,Efff,xXYy,hhHi,lLmn,iJKk,qrrR,klLm,ABcc,Fggh,LmnP,BccE,ccEf,fFgg,JKkl,rrRS,PQqr,ghhH,mnPQ,HiIi,iiJK,Qqrr,hHiI,iIii,SVwx,wxXY,XYyY,VwxX,cEff,IiiJ"
20,AabcccCddEEfGhiIiIIiJjjKKKKLmmnNPstTuUVwwxyZZz,"tTuU,uUVw,ddEE,IiII,iJjj,mnNP,nNPs,NPst,ccCd,GhiI,jjKK,yZZz,cccC,UVww,abcc,mmnN,wwxy,KKKK,CddE,JjjK,xyZZ,Lmmn,cCdd,hiIi,bccc,fGhi,IIiJ,Aabc,iIiI,TuUV,jKKK,wxyZ,dEEf,Vwwx,KLmm,EEfG,KKKL,stTu,IiJj,iIIi,EfGh,KKLm,PstT"
21,aBccDDeEeEehHiJjjJJkklLMMMmMMnnOQqRRSSsTTuuuvvVvvwwWWXXxXXXYyZZ,"nOQq,TTuu,WXXx,vvww,iJjj,HiJj,RRSS,nnOQ,Vvvw,klLM,vVvv,jJJk,qRRS,eEeE,MMMm,OQqR,uvvV,MmMM,MnnO,ehHi,eEeh,jjJJ,SSsT,sTTu,vvVv,kklL,YyZZ,XXXY,uuvv,Jkkl,EehH,MMnn,SsTT,RSSs,aBcc,MMmM,DeEe,wWWX,DDeE,WWXX,hHiJ,XYyZ,mMMn,JJkk,lLMM,XXYy,LMMM,QqRR,uuuv,JjjJ,wwWW,cDDe,EeEe,XxXX,xXXX,ccDD,Tuuu,BccD,XXxX,vwwW"
22,aabBBBbCceEFFgHJjJknPqQRRRuuvVWxxxYZZzz,"xxxY,gHJj,uuvV,FFgH,Ruuv,bBBB,BBBb,JjJk,BBbC,Wxxx,xxYZ,EFFg,abBB,eEFF,ceEF,jJkn,PqQR,xYZZ,FgHJ,BbCc,VWxx,aabB,qQRR,RRuu,CceE,YZZz,bCce,uvVW,HJjJ,QRRR,nPqQ,knPq,vVWx,JknP,RRRu,ZZzz"
23,abbcCcFfgGijjJKKkLmMMNnPPPpqQqqRSSTTtuVvxyYy,"QqqR,TTtu,jJKK,SSTT,jjJK,LmMM,MNnP,nPPP,kLmM,NnPP,PPPp,STTt,uVvx,cFfg,PpqQ,abbc,gGij,fgGi,TtuV,qRSS,KKkL,xyYy,CcFf,FfgG,pqQq,Gijj,qqRS,vxyY,bbcC,qQqq,Vvxy,bcCc,PPpq,KkLm,MMNn,JKKk,cCcF,tuVv,RSST,mMMN,ijjJ"
24,ABBbCcCDDDdEfGggGgHHiJJjKMMnOOOPpPqQQsSsUVwWXy,"PpPq,cCDD,KMMn,jKMM,dEfG,nOOO,DDdE,ABBb,pPqQ,BBbC,JJjK,QQsS,wWXy,OPpP,sUVw,HHiJ,BbCc,EfGg,sSsU,iJJj,DdEf,JjKM,ggGg,MMnO,VwWX,CDDD,gHHi,UVwW,GggG,MnOO,OOOP,QsSs,gGgH,OOPp,qQQs,bCcC,SsUV,fGgg,GgHH,DDDd,HiJJ,CcCD,PqQQ"
25,aAaaABbBbCccdDeefFFFggghhIjKKKKlLlmmMNNnnOpppPqQrsssUVwwxYYY,"KlLl,MNNn,ppPq,gghh,pppP,aAaa,ccdD,pPqQ,mmMN,efFF,lmmM,NnnO,Qrss,dDee,bCcc,mMNN,hhIj,KKlL,eefF,ABbB,xYYY,cdDe,sUVw,nOpp,qQrs,BbCc,UVww,hIjK,rsss,aaAB,Cccd,KKKK,sssU,fFFF,NNnn,aABb,ghhI,PqQr,jKKK,ssUV,Vwwx,FFgg,Llmm,FFFg,BbBb,nnOp,wxYY,IjKK,AaaA,Oppp,bBbC,Deef,wwxY,lLlm,KKKl,gggh,Fggg"
26,bbCcDdeeefgHIIJKLLLllMoPQQRrTTTuuvvWwxyZZz,"LLll,oPQQ,TTuu,bCcD,vWwx,Ddee,RrTT,rTTT,fgHI,gHII,MoPQ,eeef,eefg,yZZz,LLLl,vvWw,Tuuv,HIIJ,uuvv,uvvW,xyZZ,efgH,JKLL,TTTu,wxyZ,LllM,Wwxy,CcDd,cDde,IIJK,deee,IJKL,KLLL,QRrT,lMoP,QQRr,bbCc,llMo,PQQR"
27,AAAAbDdddEFfFgGHijJjJKkLlMNOOppPppPQQQrRssTtTTtvVWWwyYyyYZZZz,"LlMN,QQQr,jJjJ,AAbD,PppP,AbDd,RssT,ZZZz,ppPp,gGHi,OppP,MNOO,lMNO,NOOp,tTTt,kLlM,jJKk,QQrR,dEFf,dddE,FfFg,FgGH,wyYy,Dddd,EFfF,JKkL,VWWw,ppPQ,GHij,KkLl,TtTT,ijJj,YZZZ,TTtv,ddEF,OOpp,HijJ,PQQQ,AAAb,yyYZ,YyyY,QrRs,yYyy,vVWW,fFgG,bDdd,sTtT,pPpp,WwyY,JjJK,tvVW,AAAA,TtvV,pPQQ,rRss,ssTt,WWwy,yYZZ"
28,AAbCcddeEEEFggGHiiJKKLlLLMMNNOoopqqQrRrsSuUXXxyyyYzZzZ,"yyyY,ddeE,pqqQ,YzZz,NOoo,yyYz,SuUX,FggG,qQrR,eEEE,EFgg,gGHi,cdde,iJKK,LLMM,uUXX,xyyy,HiiJ,opqq,Xxyy,rRrs,AbCc,yYzZ,NNOo,EEFg,RrsS,XXxy,rsSu,GHii,sSuU,KLlL,UXXx,bCcd,iiJK,KKLl,qqQr,Ooop,lLLM,JKKL,zZzZ,Ccdd,EEEF,ggGH,QrRr,AAbC,LlLL,MMNN,LMMN,oopq,deEE,MNNO"
29,AcDddfGhJJjmMmNooQStVVVvwwWxXYzZ,"wwWx,oQSt,wWxX,QStV,VVVv,xXYz,WxXY,hJJj,dfGh,fGhJ,NooQ,mMmN,MmNo,VVvw,StVV,mNoo,GhJJ,AcDd,Vvww,Dddf,ddfG,JjmM,tVVV,jmMm,XYzZ,ooQS,cDdd,JJjm,vwwW"
30,AbBCcDdEeffGGhHIkKLLlMNnoOopPqvVvWwWwWwyZ,"LlMN,vVvW,KLLl,oOop,GhHI,wWwy,bBCc,qvVv,DdEe,ffGG,noOo,lMNn,fGGh,kKLL,MNno,pPqv,PqvV,HIkK,opPq,WwyZ,dEef,Eeff,effG,hHIk,NnoO,IkKL,CcDd,WwWw,OopP,VvWw,BCcD,GGhH,cDdE,vWwW,wWwW,AbBC,LLlM"
31,AbBbEeEFfFFHHHIiJJjJLllmNnNNPpRstuUvWXXyyyZzZzzZ,"XXyy,llmN,JjJL,lmNn,Rstu,WXXy,yyZz,FHHH,zZzz,PpRs,FFHH,FfFF,HHHI,jJLl,stuU,UvWX,ZzZz,NnNN,EeEF,EFfF,iJJj,HIiJ,NNPp,JJjJ,tuUv,mNnN,AbBb,IiJJ,HHIi,bBbE,uUvW,ZzzZ,JLll,Xyyy,nNNP,yyyZ,vWXX,bEeE,BbEe,Lllm,NPpR,pRst,yZzZ,fFFH,eEFf"
32,aAABBDDffFHjKLLNooppPppRSSTTTuuuUwXxxyyzZZ,"AABB,aAAB,Noop,SSTT,uuUw,xxyy,TTuu,ppPp,uuuU,KLLN,fFHj,wXxx,BDDf,FHjK,ffFH,STTT,LLNo,PppR,ppRS,yzZZ,oppP,TTTu,ABBD,HjKL,DffF,yyzZ,pPpp,UwXx,jKLL,RSST,LNoo,BBDD,DDff,uUwX,Tuuu,pRSS,Xxxy,oopp,xyyz"
33,AbbCdeEghhHIIIJlllnnnOoPpqrrstUvVwwwXxYZzz,"AbbC,bCde,pqrr,wwwX,hhHI,UvVw,tUvV,llln,IIJl,Vwww,vVww,CdeE,Jlll,bbCd,nnOo,lnnn,deEg,HIII,IJll,nnnO,rstU,IIIJ,ghhH,qrrs,Eghh,nOoP,xYZz,XxYZ,stUv,wXxY,oPpq,eEgh,hHII,llnn,wwXx,Ppqr,rrst,OoPp,YZzz"
34,bbbBBbccCcCdDeEEfgHHHJjJkLMmmnNpqQqQQqrrrrrrSstTttUuvYZz,"cCdD,HHJj,fgHH,jJkL,QQqr,JjJk,HHHJ,NpqQ,rSst,tUuv,bccC,dDeE,JkLM,rrrr,gHHH,Bbcc,rrrS,eEEf,uvYZ,mmnN,qQqQ,BBbc,CdDe,cCcC,CcCd,pqQq,QqQQ,stTt,vYZz,EEfg,rrSs,ttUu,DeEE,kLMm,bbbB,LMmm,EfgH,bBBb,ccCc,Qqrr,HJjJ,tTtt,qrrr,mnNp,bbBB,Mmmn,nNpq,qQQq,TttU,SstT,UuvY"
35,bbBcdEFggggGIIIiiIjjKllLlmmmmMMNoOOoQQQRsSStttUVwXxYYYYZZ,"YYZZ,IiiI,VwXx,GIII,OOoQ,SStt,EFgg,YYYY,sSSt,UVwX,IjjK,MMNo,Sttt,xYYY,oQQQ,lmmm,oOOo,gggg,llLl,mmMM,QRsS,mmmM,cdEF,iiIj,gggG,dEFg,QQQR,MNoO,bBcd,IIIi,jKll,KllL,tUVw,QQRs,NoOO,tttU,Llmm,mmmm,wXxY,ggGI,ttUV,mMMN,jjKl,OoQQ,BcdE,XxYY,gGII,lLlm,YYYZ,RsSS,IIii,Fggg,iIjj,bbBc"
36,aAbbCDdEFHhJkLLMOOOoqrRsTtuUuvVvwwWX,"AbbC,CDdE,dEFH,FHhJ,UuvV,rRsT,bCDd,JkLL,vwwW,LLMO,HhJk,oqrR,TtuU,MOOO,RsTt,wwWX,aAbb,uUuv,kLLM,Ooqr,LMOO,Vvww,OOoq,DdEF,sTtu,vVvw,bbCD,EFHh,qrRs,uvVv,hJkL,OOOo,tuUu"
37,AbBbBBCegHiiijKKmMMnnOpqQSuUUvwwXyZ,"bBbB,SuUU,bBBC,UUvw,BBCe,uUUv,qQSu,KKmM,wXyZ,CegH,nOpq,Uvww,ijKK,BbBB,OpqQ,MnnO,BCeg,iijK,jKKm,MMnn,Hiii,iiij,gHii,egHi,vwwX,AbBb,pqQS,mMMn,KmMM,nnOp,QSuU,wwXy"
38,ABBcCCddEfffFGHHhHHHHhhHjjkLlMmmnNNnnOPPQSsSuUVvWWwyzzZzZZ,"vWWw,fffF,VvWW,mnNN,LlMm,fFGH,nnOP,hHjj,ffFG,PQSs,HHhH,hhHj,SuUV,Wwyz,cCCd,HHHH,ddEf,BBcC,GHHh,kLlM,Efff,UVvW,wyzz,uUVv,mmnN,HHhh,jjkL,HHHh,CddE,lMmm,dEff,Hjjk,sSuU,NNnn,BcCC,nNNn,yzzZ,PPQS,hHHH,OPPQ,QSsS,zzZz,ABBc,HhhH,SsSu,FGHH,zZzZ,nOPP,HhHH,Mmmn,CCdd,jkLl,ZzZZ,WWwy,NnnO"
39,AAaaAbbbbBBCCdDDEEgGhhIiJjjklmnnOPRrrSSTTTUvvVWWwxxxYY,"xxxY,SSTT,bBBC,AAaa,aaAb,gGhh,nnOP,iJjj,GhhI,nOPR,TUvv,vvVW,bbbb,CCdD,TTUv,hhIi,rSST,xxYY,BBCC,STTT,VWWw,TTTU,hIiJ,aAbb,BCCd,dDDE,OPRr,EgGh,EEgG,jjkl,Abbb,DEEg,Wwxx,bbbB,klmn,vVWW,DDEE,PRrr,mnnO,jklm,IiJj,wxxx,bbBB,AaaA,CdDD,Jjjk,rrSS,lmnn,WWwx,RrrS,UvvV"
40,AaAABbccEefGHHIjmOOPQRsSSSsstuUuVvwWWWXxXyZzZ,"aAAB,SSSs,wWWW,bccE,WXxX,uUuV,GHHI,jmOO,SSss,AaAA,cEef,WWXx,ccEe,EefG,HIjm,OOPQ,stuU,mOOP,Bbcc,sSSS,ABbc,fGHH,XxXy,XyZz,vwWW,OPQR,QRsS,WWWX,IjmO,AABb,efGH,HHIj,Ssst,UuVv,xXyZ,uVvw,sstu,VvwW,PQRs,RsSS,yZzZ,tuUu"
41,aBBBBCDdfGhKLmnnPpQqrRrsssttuUvvXXxXyz,"mnnP,qrRr,pQqr,hKLm,dfGh,xXyz,vvXX,CDdf,Rrss,ssst,Lmnn,rRrs,aBBB,QqrR,sttu,vXXx,rsss,BBBC,nnPp,XxXy,sstt,tuUv,PpQq,BBCD,KLmn,BBBB,nPpQ,BCDd,DdfG,UvvX,uUvv,GhKL,ttuU,fGhK,XXxX"
42,aaBcddeEeEffFFghhkKKLLmMNNNpPqrRSttttuuvwWwXXyy,"ddeE,XXyy,aBcd,uuvw,qrRS,ttuu,EeEf,eEff,MNNN,cdde,LmMN,mMNN,FFgh,Sttt,KLLm,eEeE,vwWw,hhkK,NNpP,wWwX,ghhk,EffF,NNNp,KKLL,tttt,Fghh,fFFg,aaBc,hkKK,uvwW,WwXX,RStt,PqrR,pPqr,wXXy,Bcdd,deEe,rRSt,kKKL,LLmM,tttu,ffFF,tuuv,NpPq"
43,AaBcDdDdDeeGGHiIiIJJkllnNooOqRRStTuUUWXYyY,"StTu,tTuU,RStT,lnNo,NooO,GGHi,WXYy,iIJJ,RRSt,UWXY,dDee,Jkll,cDdD,qRRS,llnN,OqRR,TuUU,GHiI,DdDd,DdDe,DeeG,eeGG,aBcD,UUWX,oOqR,iIiI,IJJk,eGGH,HiIi,ooOq,AaBc,dDdD,nNoo,BcDd,JJkl,XYyY,IiIJ,uUUW,klln"
44,bCCccdDEeEFfGgHHIJJjKKLlmooppPpPpqrsstTtUUUUWWxXxYZ,"jKKL,KLlm,Llmo,pPpP,WWxX,DEeE,ccdD,CCcc,ppPp,PpPp,JJjK,qrss,lmoo,dDEe,fGgH,moop,tUUU,UUUW,cdDE,gHHI,HHIJ,oopp,EeEF,rsst,bCCc,Cccd,xXxY,FfGg,stTt,UWWx,WxXx,oppP,pPpq,EFfG,TtUU,XxYZ,KKLl,sstT,UUWW,tTtU,UUUU,Ppqr,GgHH,IJJj,JjKK,pqrs,HIJJ,eEFf"
45,ABBBCDEgghiIJKKllmnoPPPQQrttuvvWWYZ,"Kllm,gghi,WWYZ,DEgg,hiIJ,rttu,Qrtt,PQQr,Eggh,oPPP,tuvv,KKll,lmno,PPPQ,BBBC,noPP,uvvW,IJKK,CDEg,QQrt,BBCD,ABBB,vvWW,ttuv,ghiI,BCDE,iIJK,mnoP,PPQQ,llmn,JKKl,vWWY"
46,aAbceffFhijJjlMmmoRsUUuVVvVwWXxyy,"sUUu,aAbc,wWXx,jJjl,jlMm,Fhij,UUuV,UuVV,VVvV,Xxyy,Mmmo,effF,bcef,fFhi,VvVw,ijJj,uVVv,ffFh,VwWX,lMmm,vVwW,mmoR,oRsU,hijJ,ceff,WXxy,moRs,RsUU,JjlM,Abce"
47,aaaBceEGhhIIiKkLLmMMMnnPPQQrrrrStTtTUuUWwXyZz,"aaaB,TUuU,aBce,LmMM,nPPQ,MMMn,hhII,GhhI,wXyZ,uUWw,KkLL,IIiK,rrrr,PQQr,rrrS,TtTU,WwXy,XyZz,MMnn,ceEG,UuUW,MnnP,rStT,EGhh,QQrr,rrSt,aaBc,mMMM,StTt,nnPP,Qrrr,BceE,hIIi,IiKk,tTUu,kLLm,UWwX,iKkL,PPQQ,LLmM,tTtT,eEGh"
48,aAAAbBCcCDdDDdEefFFfHhijjlmmmNnPpQRsSttWWXxxYYYZ,"FfHh,bBCc,DDdE,efFF,CcCD,DdEe,ijjl,WWXx,FFfH,fFFf,PpQR,xYYY,tWWX,lmmm,mmNn,xxYY,CDdD,sStt,dDDd,ttWW,XxxY,QRsS,jjlm,pQRs,cCDd,mNnP,nPpQ,BCcC,mmmN,AAAb,WXxx,dEef,fHhi,jlmm,aAAA,AbBC,RsSt,DdDD,hijj,NnPp,SttW,Hhij,YYYZ,EefF,AAbB"
49,aABBbcdFFFFfhIjjKmPpQRrstuUUuvxYYYYyzz,"KmPp,fhIj,jjKm,aABB,ABBb,YYYY,cdFF,PpQR,IjjK,mPpQ,Rrst,stuU,vxYY,xYYY,uvxY,FFfh,Uuvx,BBbc,FFFf,dFFF,YYyz,jKmP,uUUu,QRrs,YYYy,FFFF,pQRr,Yyzz,rstu,Bbcd,FfhI,UUuv,tuUU,hIjj,bcdF"
50,bbdDeeFFGGJkkLllnnNoppPpqrrrRRSUvVXYzZ,"FFGG,kkLl,RRSU,UvVX,pqrr,eeFF,ppPp,DeeF,nNop,rrRR,nnNo,dDee,bbdD,JkkL,kLll,RSUv,vVXY,GGJk,lnnN,VXYz,oppP,pPpq,FGGJ,eFFG,bdDe,rRRS,Llln,XYzZ,qrrr,llnn,SUvV,Nopp,Ppqr,rrrR,GJkk"
51,abcCCCcEfffFFFHiIIIIiJKLLLLlmnNnNooooOpPPPQqQQRSsSttuuuVvWWwxYYz,"uVvW,vWWw,fffF,VvWW,lmnN,abcC,ttuu,CCCc,FFFH,LLlm,oOpP,LLLL,WwxY,oooO,QRSs,bcCC,Efff,IiJK,FHiI,pPPP,LLLl,uuuV,tuuu,sStt,PPPQ,iJKL,FFHi,HiII,Llmn,PPQq,cCCC,fFFF,OpPP,QqQQ,JKLL,SsSt,Sttu,xYYz,CCcE,IIiJ,nNnN,uuVv,iIII,Nooo,qQQR,IIII,IIIi,NnNo,wxYY,oooo,RSsS,nNoo,CcEf,KLLL,ooOp,PQqQ,WWwx,mnNn,ffFF,cEff,QQRS"
52,BBccCdDEFfgggHhHhJKkkkLllMnoOoPrRTuVvxXyZ,"HhHh,cCdD,kkLl,VvxX,ggHh,uVvx,ccCd,TuVv,hJKk,gHhH,Ffgg,Kkkk,noOo,kLll,oOoP,llMn,JKkk,fggg,hHhJ,EFfg,CdDE,RTuV,lMno,BBcc,BccC,LllM,kkkL,dDEF,xXyZ,gggH,rRTu,oPrR,OoPr,PrRT,DEFf,HhJK,MnoO,vxXy"
